Time,Intensity
639.365,0.606542125
640.365,0.608965962
641.365,0.608873298
642.365,0.6079201
643.365,0.609542072
644.365,0.60653338
645.365,0.609765359
646.365,0.605783997
647.365,0.60845682
648.365,0.608971054
649.365,0.607876313
650.365,0.607660985
651.365,0.611358564
652.365,0.606751428
653.365,0.609854813
654.365,0.606163753
655.365,0.608323579
656.365,0.611569891
657.365,0.608406113
658.365,0.620941873
659.365,0.619884052
660.365,0.608335539
661.365,0.614617085
662.365,0.615622717
663.365,0.61623347
664.365,0.61459766
665.365,0.614469757
666.365,0.616650736
667.365,0.615523823
668.365,0.611605921
669.365,0.609912486
670.365,0.609396773
671.365,0.612241484
672.365,0.609916194
673.365,0.60905774
674.365,0.609722461
675.365,0.598629964
676.365,0.607491318
677.365,0.608944315
678.365,0.608630242
679.365,0.606612652
680.365,0.60954484
681.365,0.607755032
682.365,0.605612998
683.365,0.607619024
684.365,0.608051957
685.365,0.608155695
686.365,0.606681791
687.365,0.603519594
688.365,0.608984446
689.365,0.604107368
690.365,0.608366924
691.365,0.606591942
692.365,0.608419014
693.365,0.608924448
694.365,0.606542125
695.365,0.608965962
696.365,0.608873298
697.365,0.6079201
698.365,0.609542072
699.365,0.60653338
700.365,0.609765359
701.365,0.605783997
702.365,0.60845682
703.365,0.608971054
704.365,0.60653338
705.365,0.609765359
706.365,0.605783997
707.365,0.60845682
708.365,0.608971054
709.365,0.869815535
710.365,0.871333769
711.365,0.869815535
712.365,0.871333769
713.365,0.868948086
714.365,0.86752484
715.365,0.872104154
716.365,0.871593925
717.365,0.871344049
718.365,0.873495473
719.365,0.8719464
720.365,0.878294021
721.365,0.87614398
722.365,0.867156056
723.365,0.877126582
724.365,0.875380119
725.365,0.877480936
726.365,0.874890251
727.365,0.87828809
728.365,0.875000758
729.365,0.868999287
730.365,0.878627321
731.365,0.877237089
732.365,0.881968522
733.365,0.878084177
734.365,0.877222263
735.365,0.874886298
736.365,0.880198732
737.365,0.881274741
738.365,0.877878879
739.365,0.880218007
740.365,0.878226412
741.365,0.881447717
742.365,0.877600437
743.365,0.873660245
744.365,0.860812488
745.365,0.88327879
746.365,0.878672196
747.365,0.875025963
748.365,0.881242617
749.365,0.877945005
750.365,0.881171054
751.365,0.879313689
752.365,0.877740597
753.365,0.87430925
754.365,0.882206241
755.365,0.879627813
756.365,0.871897077
757.365,0.880363801
758.365,0.878739409
759.365,0.877178376
760.365,0.882794853
761.365,0.88341974
762.365,0.881863254
763.365,0.878817396
764.365,0.881813833
765.365,0.880403733
766.365,0.882916035
767.365,0.885560391
768.365,0.879403538
769.365,0.875560212
770.365,0.879126842
771.365,0.87873985
772.365,0.878352858
773.365,0.877965866
774.365,0.877578874
775.365,0.877191882
776.365,0.87680489
777.365,0.876417898
778.365,0.876030905
779.365,0.875643913
780.365,0.875256921
781.365,0.874869929
782.365,0.874482937
783.365,0.874095945
,0.873708953
,0.873321961
,0.872934969
,0.872547977
,0.872160985
